repo_name,repo_link,repo_number_of_stars,repo_number_of_forks,repo_is_forked,percentage_python_lang
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,181k,32.9k,False,98.0%
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,136k,35.6k,False,100.0%
vinta/awesome-python,https://github.com/vinta/awesome-python,127k,21.2k,False,92.6%
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,118k,45.5k,False,36.1%
nvbn/thefuck,https://github.com/nvbn/thefuck,71k,3.2k,False,99.9%
django/django,https://github.com/django/django,64.1k,27.1k,False,97.2%
huggingface/transformers,https://github.com/huggingface/transformers,63.2k,14.9k,False,99.7%
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,55.5k,7.8k,False,100.0%
keras-team/keras,https://github.com/keras-team/keras,55.2k,19.1k,False,97.3%
ansible/ansible,https://github.com/ansible/ansible,53.1k,21.9k,False,88.4%
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,50.1k,23k,False,91.0%
psf/requests,https://github.com/psf/requests,47.4k,8.7k,False,99.8%
tiangolo/fastapi,https://github.com/tiangolo/fastapi,45.2k,3.5k,False,99.9%
python/cpython,https://github.com/python/cpython,44.9k,23.1k,False,65.6%
localstack/localstack,https://github.com/localstack/localstack,40.9k,3.1k,False,99.0%
fighting41love/funNLP,https://github.com/fighting41love/funNLP,40.4k,11.2k,False,100.0%
pandas-dev/pandas,https://github.com/pandas-dev/pandas,33.9k,14.4k,False,90.4%
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,32.4k,7.6k,False,70.7%
getsentry/sentry,https://github.com/getsentry/sentry,30.9k,3.5k,False,57.5%
gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,29k,5.3k,False,50.3%
psf/black,https://github.com/psf/black,27.3k,1.7k,False,99.7%
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,27.1k,3.3k,False,83.5%
apache/airflow,https://github.com/apache/airflow,25.9k,10.5k,False,94.1%
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,25.4k,1.9k,False,99.9%
donnemartin/interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,25.4k,4.1k,False,100.0%
geekcomputers/Python,https://github.com/geekcomputers/Python,25.3k,10.9k,False,77.9%
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,24k,5.1k,False,85.0%
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,23.5k,4.8k,False,98.2%
explosion/spaCy,https://github.com/explosion/spaCy,23.4k,3.8k,False,76.7%
pypa/pipenv,https://github.com/pypa/pipenv,23k,1.7k,False,98.4%
python-poetry/poetry,https://github.com/python-poetry/poetry,19.7k,1.6k,False,85.9%
deezer/spleeter,https://github.com/deezer/spleeter,19.5k,2.2k,False,88.6%
celery/celery,https://github.com/celery/celery,19.3k,4.3k,False,98.4%
locustio/locust,https://github.com/locustio/locust,18.9k,2.4k,False,92.7%
jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,18.5k,4.6k,False,87.5%
vnpy/vnpy,https://github.com/vnpy/vnpy,18.4k,7.3k,False,99.0%
google/jax,https://github.com/google/jax,17.5k,1.6k,False,92.4%
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,17.4k,3.7k,False,97.9%
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,16.9k,4.5k,False,97.8%
cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,16.9k,1.6k,False,99.0%
plotly/dash,https://github.com/plotly/dash,16.4k,1.7k,False,44.8%
bokeh/bokeh,https://github.com/bokeh/bokeh,16.3k,3.9k,False,56.7%
chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,16.1k,868,False,100.0%
zulip/zulip,https://github.com/zulip/zulip,15.8k,5.4k,False,61.9%
spotify/luigi,https://github.com/spotify/luigi,15.7k,2.3k,False,90.4%
binux/pyspider,https://github.com/binux/pyspider,15.4k,3.6k,False,85.5%
jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,15.2k,4.1k,False,99.1%
quantopian/zipline,https://github.com/quantopian/zipline,15.1k,4.4k,False,95.7%
cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,15k,918,False,99.9%
Jack-Cherish/python-spider,https://github.com/Jack-Cherish/python-spider,14.8k,5.5k,False,94.6%
alievk/avatarify-python,https://github.com/alievk/avatarify-python,14.8k,2.2k,False,62.4%
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,14.7k,2.1k,False,98.1%
kivy/kivy,https://github.com/kivy/kivy,14.6k,2.9k,False,67.9%
facebook/prophet,https://github.com/facebook/prophet,14.4k,4.2k,False,62.1%
mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,14.2k,2k,False,74.8%
joke2k/faker,https://github.com/joke2k/faker,14.2k,1.6k,False,100.0%
InstaPy/InstaPy,https://github.com/InstaPy/InstaPy,14.2k,3.6k,False,98.9%
wangshub/wechat_jump_game,https://github.com/wangshub/wechat_jump_game,13.9k,4.5k,False,99.9%
d2l-ai/d2l-en,https://github.com/d2l-ai/d2l-en,13.4k,3.1k,False,61.7%
fabric/fabric,https://github.com/fabric/fabric,13.4k,1.9k,False,100.0%
RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,13.1k,4.2k,False,92.0%
python/mypy,https://github.com/python/mypy,13.1k,2.2k,False,95.9%
trekhleb/learn-python,https://github.com/trekhleb/learn-python,12.6k,2k,False,100.0%
